DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6160;P8586;P6218;P8587;P8587S1;P6211;P5455;P1088;P1088S1;P6216;P5457;P5673;P5674;P6223;P1101;P5461;P5461S1;P5461S2;P5461S3;P4693;P6167;P6180;P6180S1;P6180S2;P8610;P8610S1;P8610S2;P6229;P6229S1;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P781;P781S1;P781S2;P782;P783;LLAVEHOG;FEX_C
6000037;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000371;386,240766006746
6000037;2;1;2;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;1;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60000371;386,240766006746
6000039;1;1;1;1;2; ;7;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000391;434,586962033729
6000039;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000391;434,586962033729
6000039;3;1;3;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60000391;434,586962033729
6000039;4;1;4;1;1; ; ; ; ; ;1;1; ; ;1; ;1;1; ;2;2;2;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;73;9;60000391;434,586962033729
6000042;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000421;2503,33769211547
6000042;2;1;2;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000421;2503,33769211547
6000042;3;1;3;1;2;9;8;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000421;2503,33769211547
6000042;4;1;4;1;1; ; ; ; ; ;6;2;2;3;1; ;1; ; ; ; ; ;3;20;2; ; ;2; ; ; ; ;2; ; ; ;1;1200000;1;4; ; ; ; ; ;60000421;2503,33769211547
6000043;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000431;2379,38227481945
6000043;2;1;2;1;1; ; ; ; ; ;5;1;4;5;1; ;1; ; ; ; ; ;3;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000431;2379,38227481945
6000043;3;1;3;1;1; ; ; ; ; ;7;1;1;5;2; ;1; ; ; ; ; ;1;20;2; ; ;1;400000;3;7; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000431;2379,38227481945
6000044;1;1;1;1;2; ;13;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000441;2833,8371785615
6000044;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000441;2833,8371785615
6000044;3;1;3;1;1; ; ; ; ; ;3;8; ; ;2;2;1;1; ;1;1;2;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000441;2833,8371785615
6000044;4;1;4;1;1; ; ; ; ; ;2;4; ; ;2;2;1;1; ;1;1;2;4;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60000441;2833,8371785615
6000045;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000451;2400,59679747725
6000045;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000451;2400,59679747725
6000046;1;1;1;1;2;3;7;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000461;2668,98174938774
6000046;2;1;2;1;2;3;8;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000461;2668,98174938774
6000046;3;1;3;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;2;2;1;4;10;1;0;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;60;4;60000461;2668,98174938774
6000047;1;1;1;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000047;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000047;3;1;3;1;1; ; ; ; ; ;7;3;3;1;2; ;1; ; ; ; ; ;3;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000047;4;1;4;1;1; ; ; ; ; ;7;2;2;1;1; ;1; ; ; ; ; ;1;25;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000047;5;1;5;1;1; ; ; ; ; ;2;4; ; ;2;2;1;1; ;1;1;1;1;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60000471;2743,03594408017
6000047;6;1;6;1;1; ; ; ; ; ;7;5;8;1;2; ;1; ; ; ; ; ;1;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000047;7;1;7;1;1; ; ; ; ; ;7;4;4;1;2; ;1; ; ; ; ; ;3;45;2; ; ;1;500000;3;3;2;2; ; ; ;2; ; ; ; ; ; ; ; ;60000471;2743,03594408017
6000048;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000481;2070,53157808164
6000048;2;1;2;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000481;2070,53157808164
6000048;3;1;3;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000481;2070,53157808164
6000048;4;1;4;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;3;35;1;0;1800;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;22;7;60000481;2070,53157808164
6000048;1;2;1;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000482;2070,53157808164
6000048;2;2;2;1;2;3;10;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000482;2070,53157808164
6000049;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000491;1901,52081529392
6000049;2;1;2;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000491;1901,52081529392
6000050;1;1;1;1;1; ; ; ; ; ;4;11; ;3;1; ;1;1; ;1;2;1;6;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60000501;2338,48932147289
6000051;1;1;1;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000511;2876,25630774459
6000051;2;1;2;1;2; ;7;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000511;2876,25630774459
6000051;3;1;3;1;2;16;5;10; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000511;2876,25630774459
6000051;4;1;4;2;1; ; ; ; ; ;1;1; ; ;1; ;1;1; ;2;2;1;3;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60000511;2876,25630774459
6000052;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60000521;1621,35681850189
6000052;2;1;2;1;1; ; ; ; ; ;7;5;5;3;2; ;1; ; ; ; ; ;3;30;2; ; ;2; ; ; ; ;2; ; ; ;1;5000000;1;4; ; ; ; ; ;60000521;1621,35681850189
