DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6160;P8586;P6218;P8587;P8587S1;P6211;P5455;P1088;P1088S1;P6216;P5457;P5673;P5674;P6223;P1101;P5461;P5461S1;P5461S2;P5461S3;P4693;P6167;P6180;P6180S1;P6180S2;P8610;P8610S1;P8610S2;P6229;P6229S1;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P781;P781S1;P781S2;P782;P783;LLAVEHOG;FEX_C
6008107;2;1;2;1;2; ;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081071;998,077341128826
6008107;3;1;3;1;1; ; ; ; ; ;3;8; ; ;2;2;1;1; ;1;1;1;3;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60081071;998,077341128826
6008108;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081081;535,6549472079
6008108;2;1;2;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081081;535,6549472079
6008109;1;1;1;1;2;4;5;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081091;903,020239563015
6008109;2;1;2;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;5;7;1;0;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60081091;903,020239563015
6008110;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081101;671,549908616547
6008111;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081111;823,731890377202
6008112;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081121;467,462719794652
6008112;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081121;467,462719794652
6008112;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081121;467,462719794652
6008113;1;1;1;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081131;485,711710709277
6008113;2;1;2;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081131;485,711710709277
6008115;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081151;535,6549472079
6008115;2;1;2;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081151;535,6549472079
6008116;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081161;535,6549472079
6008116;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081161;535,6549472079
6008117;1;1;1;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081171;535,6549472079
6008117;2;1;2;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081171;535,6549472079
6008118;1;1;1;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081181;706,08591988318
6008120;1;1;1;1;2; ;13;2;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081201;535,6549472079
6008120;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081201;535,6549472079
6008137;1;1;1;1;2; ;11;6;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081371;425,911097098176
6008137;2;1;2;1;2;2;11;6;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081371;425,911097098176
6008137;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;1;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60081371;425,911097098176
6008137;4;1;4;1;1; ; ; ; ; ;3;8; ; ;1; ;1;1; ;2;2;2;4;5;1;0;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60081371;425,911097098176
6008137;5;1;5;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081371;425,911097098176
6008143;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081431;662,06400267406
6008143;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081431;662,06400267406
6008143;3;1;3;1;1; ; ; ; ; ;4;10; ;1;1; ;1;1; ;2;2;1;4;5;1;0;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60081431;662,06400267406
6008186;1;1;1;1;2;2;11;4;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081861;500,396665756533
6008190;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081901;547,417419777734
6008190;2;1;2;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081901;547,417419777734
6008191;1;1;1;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081911;527,834124273748
6008191;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081911;527,834124273748
6008191;3;1;3;1;1; ; ; ; ; ;3;8; ; ;1; ;1;1; ;2;2;2;5;15;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60081911;527,834124273748
6008191;4;1;4;1;2;9;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081911;527,834124273748
6008191;5;1;5;1;2;4;5;10; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081911;527,834124273748
6008192;1;1;1;1;2; ;13;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081921;548,197077131025
6008192;2;1;2;1;2; ;10;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081921;548,197077131025
6008192;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;2; ;2;2;2;1;15;1;0;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60081921;548,197077131025
6008192;4;1;4;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081921;548,197077131025
6008193;1;1;1;1;2; ;11;5;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081931;532,884607079288
6008193;2;1;2;1;2; ;7;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60081931;532,884607079288
6008193;3;1;3;1;1; ; ; ; ; ;7;3;8;3;2; ;1; ; ; ; ; ;3;20;2; ; ;2; ; ; ; ;1;1800000;3;7;2; ; ; ; ; ; ; ; ;60081931;532,884607079288
6008193;4;1;4;1;1; ; ; ; ; ;7;4;4;3;2; ;1; ; ; ; ; ;1;15;2; ; ;2; ; ; ; ;1;1700000;4;7;2; ; ; ; ; ; ; ; ;60081931;532,884607079288
6008193;5;1;5;1;2;16;5;11; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ;60081931;532,884607079288
6008200;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082001;662,581420116049
6008200;2;1;2;1;2;10;10;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082001;662,581420116049
6008200;3;1;3;2;1; ; ; ; ; ;1;2; ; ;2;2;1;4; ;1;1;1;1;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082001;662,581420116049
6008207;1;1;1;1;2; ;13;1;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082071;673,000478195355
6008207;2;1;2;1;2;3;11;5;7;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082071;673,000478195355
6008207;3;1;3;1;2;3;11;5;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082071;673,000478195355
6008207;4;1;4;1;1; ; ; ; ; ;7;1;0;5;2; ;1; ; ; ; ; ;1;7;2; ; ;2; ; ; ; ;2; ; ; ;1;4200000;3;1; ; ; ; ; ;60082071;673,000478195355
6008212;1;1;1;1;2;16;7;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082121;606,059891481077
6008212;2;1;2;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;1;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082121;606,059891481077
6008220;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082201;547,417419777734
6008220;2;1;2;1;1; ; ; ; ; ;7;1;1;1;2; ;1; ; ; ; ; ;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082201;547,417419777734
6008221;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082211;669,857239685985
6008221;2;1;2;1;2; ;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082211;669,857239685985
6008221;3;1;3;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082211;669,857239685985
6008230;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082301;613,335711051012
6008230;2;1;2;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;2;30;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082301;613,335711051012
6008234;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082341;359,50354704477
6008234;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082341;359,50354704477
6008235;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082351;540,141600207798
6008235;2;1;2;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;15;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;35;4;60082351;540,141600207798
6008236;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082361;440,368605337774
6008241;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082411;527,558414344152
6008241;2;1;2;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082411;527,558414344152
6008241;3;1;3;1;1; ; ; ; ; ;2;1; ; ;2;2;1;1; ;1;1;2;4;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082411;527,558414344152
6008242;1;1;1;1;2; ;7;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082421;562,808425246025
6008242;2;1;2;1;2; ;10;3;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082421;562,808425246025
6008243;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082431;494,039129652132
6008243;2;1;2;1;2;4;5;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082431;494,039129652132
6008249;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082491;473,887890029794
6008254;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082541;473,887890029794
6008257;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082571;562,808425246025
6008257;2;1;2;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082571;562,808425246025
6008260;1;1;1;1;2; ;7;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082601;687,533290893801
6008261;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082611;638,674495998382
6008261;2;1;2;1;2; ;7;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082611;638,674495998382
6008261;3;1;3;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082611;638,674495998382
6008261;4;1;4;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;7;1;1000;1500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082611;638,674495998382
6008261;5;1;5;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;15;1;1000;1500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082611;638,674495998382
6008261;6;1;6;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;2;2;2;4;15;1;1000;1500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082611;638,674495998382
6008262;1;1;1;1;2;9;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082621;686,93507374868
6008262;2;1;2;1;2;4;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082621;686,93507374868
6008262;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082621;686,93507374868
6008262;4;1;4;2;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082621;686,93507374868
6008263;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082631;690,604832231177
6008263;2;1;2;1;1; ; ; ; ; ;2;2; ; ;2;1;1;1; ;2;2;2;4;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;25;4;60082631;690,604832231177
6008263;4;1;4;1;2;5;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082631;690,604832231177
6008263;5;1;5;1;2;9;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082631;690,604832231177
6008264;1;1;1;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082641;527,241746827588
6008264;2;1;2;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082641;527,241746827588
6008264;3;1;3;1;1; ; ; ; ; ;2;1; ; ;1; ;1;2; ;2;2;2;6;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082641;527,241746827588
6008264;5;1;5;1;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082641;527,241746827588
6008264;6;1;6;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;6;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60082641;527,241746827588
6008265;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082651;712,784357646896
6008265;2;1;2;1;2;4;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082651;712,784357646896
6008266;1;1;1;1;1; ; ; ; ; ;7;2;1;1;1; ;1; ; ; ; ; ;3;25;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082661;536,752921900928
6008266;2;1;2;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082661;536,752921900928
6008266;3;1;3;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60082661;536,752921900928
6008267;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082671;610,221747985154
6008267;2;1;2;1;1; ; ; ; ; ;3;9; ; ;1; ;1;3; ;2;2;2;3;25;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082671;610,221747985154
6008267;3;1;3;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;4;10;1;1000;15000;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60082671;610,221747985154
6008268;1;1;1;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082681;532,629394685173
6008268;2;1;2;1;2;16;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082681;532,629394685173
6008268;3;1;3;1;1; ; ; ; ; ;4;11; ;4;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082681;532,629394685173
6008268;4;1;4;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082681;532,629394685173
6008269;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082691;547,289179377178
6008269;2;1;2;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082691;547,289179377178
6008270;1;1;1;1;2; ;7;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082701;466,769995173182
6008270;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082701;466,769995173182
6008271;1;1;1;1;2;1;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082711;464,405490284347
6008271;2;1;2;1;2;5;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ;60082711;464,405490284347
6008271;3;1;3;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082711;464,405490284347
6008271;4;1;4;2;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;10;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082711;464,405490284347
6008273;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082731;359,139696737844
6008273;2;1;2;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082731;359,139696737844
6008273;3;1;3;1;1; ; ; ; ; ;4;11; ;3;1; ;1;3; ;2;2;2;3;35;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082731;359,139696737844
6008274;1;1;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082741;686,93507374868
6008274;2;1;2;1;2;4;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082741;686,93507374868
6008274;3;1;3;1;1; ; ; ; ; ;2;3; ; ;1; ;1;2; ;2;2;2;4;15;1;1000;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082741;686,93507374868
6008274;4;1;4;2;1; ; ; ; ; ;1;1; ; ;1; ;1;2; ;2;2;2;4;15;1;1000;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60082741;686,93507374868
6008275;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082751;634,175909598479
6008275;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60082751;634,175909598479
6008275;3;1;3;1;1; ; ; ; ; ;7;1;0;3;2; ;1; ; ; ; ; ;3;25;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082751;634,175909598479
6008275;4;1;4;1;1; ; ; ; ; ;7;3;2;1;1; ;1; ; ; ; ; ;3;20;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60082751;634,175909598479
