year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2008,19,17285,352,284,636,1268319,0.02775327027348798,0.022391843061564165,1.3628274905603401,0.050145113335052144,Cauca,17921,0.9645109089894537,0.019641761062440713,0.015847329948105573
2009,19,17507,299,328,627,1287169,0.023229272923757486,0.025482279327733965,1.3601166591178004,0.04871155225149145,Cauca,18134,0.9654240652917172,0.01648836439836771,0.018087570309915077
2010,19,17028,364,269,633,1305905,0.02787339048399386,0.020598741868665792,1.3039233328611193,0.04847213235265965,Cauca,17661,0.9641583149312043,0.020610384462940945,0.015231300605854708
2011,19,16797,491,249,740,1324424,0.03707271991446848,0.018800625781471795,1.2682494427766335,0.055873345695940276,Cauca,17537,0.9578035011689571,0.027997947197354166,0.014198551633688772
2012,19,17677,789,271,1060,1342625,0.058765478074667164,0.020184340377990877,1.3165999441392795,0.07894981845265804,Cauca,18737,0.9434274430271655,0.042109195709024924,0.014463361263809574
2013,19,18157,1083,233,1316,1360715,0.07959050940130741,0.01712335059141701,1.3343720029543291,0.09671385999272442,Cauca,19473,0.9324192471627382,0.055615467570482205,0.011965285266779644
2014,19,18331,1300,220,1520,1379169,0.09425965925858253,0.01595163464376012,1.3291337029762125,0.11021129390234265,Cauca,19851,0.9234295501486072,0.06548788474132286,0.011082565110070022
2015,19,18208,1304,231,1535,1398252,0.09325929803783581,0.016520627183082878,1.3021973149332167,0.10977992522091869,Cauca,19743,0.9222509243782606,0.06604872613078053,0.011700349490958821
2016,19,18190,1281,199,1480,1418047,0.09033551074118136,0.014033385353235823,1.2827501486198976,0.10436889609441719,Cauca,19670,0.9247585155058464,0.06512455516014234,0.010116929334011185
2017,19,18780,1199,221,1420,1438502,0.08335059666236126,0.015363204222170008,1.3055247750785193,0.09871380088453127,Cauca,20200,0.9297029702970298,0.059356435643564354,0.01094059405940594
2008,20,20945,428,399,827,966278,0.044293671179515624,0.04129246448744564,2.1675956608760627,0.08558613566696127,Cesar,21772,0.9620154326658092,0.019658276685651295,0.018326290648539408
2009,20,20682,477,346,823,984735,0.048439427866380294,0.03513635648169305,2.1002604761687156,0.08357578434807333,Cesar,21505,0.9617298302720297,0.022180888165542898,0.01608928156242734
2010,20,18673,715,306,1021,1003449,0.07125424411205751,0.030494823354251188,1.8608818186076224,0.1017490674663087,Cesar,19694,0.9481567990250838,0.03630547374834975,0.015537727226566466
2011,20,20813,232,286,518,1022255,0.022694924456226676,0.02797736376931392,2.035989063394163,0.050672288225540596,Cesar,21331,0.9757160939477756,0.010876189583235666,0.013407716468988796
2012,20,20918,272,346,618,1041453,0.026117357192307285,0.03322281466374383,2.008539991723102,0.059340171856051116,Cesar,21536,0.9713038632986627,0.01263001485884101,0.016066121842496284
2013,20,20753,289,265,554,1061257,0.02723185807019412,0.02497038888789426,1.955511247511206,0.05220224695808838,Cesar,21307,0.9739991552072089,0.013563617590463229,0.012437227202327874
2014,20,21607,254,281,535,1081319,0.023489830475558093,0.02598678095918041,1.9982077444306445,0.0494766114347385,Cesar,22142,0.9758377743654593,0.011471411796585675,0.012690813837955018
2015,20,20768,274,279,553,1102461,0.024853486880715054,0.025307017663209856,1.8837854581704023,0.05016050454392491,Cesar,21321,0.9740631302471742,0.012851179588199427,0.013085690164626424
